Number,Precinct,Gender,Race,Age,Bias Motivation 
1,1,Male,Black,24,Anti-Jewish
2,1,Male,Black,24,Anti-Jewish
3,1,Male,Black,24,Anti-Jewish
4,1,Male,Black,24,Anti-Jewish
5,1,Female,Black,37,Anti-White
6,6,Female,White,58,Anti-Transgender
7,6,Male,White,44,Anti-Male homosexual (Gay)
8,10,Male,Black,49,Anti-Islamic (Muslim)
9,10,Male,Black,24,Anti-Jewish
10,13,Male,Black,47,Anti-Hispanic
11,17,Male,Black,24,Anti-Jewish
12,18,Male,White,23,Anti-Male homosexual (Gay)
13,18,Male,Unknown,32,Anti-Male homosexual (Gay)
14,24,Male,Hispanic,31,Anti-Jewish
15,24,Male,White,30,Anti-Male homosexual (Gay)
16,26,Male,Black,39,Anti-Transgender
17,62,Male,Black,38,Anti-Arab
18,62,Male,White,69,Anti-Islamic (Muslim)
19,66,Female,Asian,24,Anti-Jewish
20,66,Male,Black,20,Anti-Jewish
21,71,Male,Black,12,Anti-Jewish
22,71,Male,Black,40,Anti-Jewish
23,71,Male,Black,19,Anti-Jewish
24,71,Male,Black,20,Anti-Jewish
25,71,Male,Black,28,Anti-Jewish
26,71,Male,Black,71,Anti-Jewish
27,71,Male,White,13,Anti-Jewish
28,73,Male,Black,19,Anti-Hispanic
29,73,Male,Black,39,Anti-Male homosexual (Gay)
30,75,Female,Black,22,Anti-Islamic (Muslim)
31,79,Male,Black,31,Anti-White
32,79,Male,Black,61,Anti-Transgender
33,81,Male,Black,28,Anti-Male homosexual (Gay)
34,83,Male,White,33,Anti-Male homosexual (Gay)
35,83,Male,White,26,Anti-Male homosexual (Gay)
36,84,Male,Black,19,Anti-Male homosexual (Gay)
37,84,Male,Black,16,Anti-Male homosexual (Gay)
38,84,Male,Black,16,Anti-Male homosexual (Gay)
39,102,Male,White,20,Anti-Jewish
40,103,Male,White,58,Anti-Black
41,114,Male,Asian,57,Anti-Male homosexual (Gay)
42,114,Male,White,16,Anti-Black
43,114,Male,White,16,Anti-Black
44,115,Male,White,55,Anti-Black
